"Slashpile1"	"Slashpile10"	"Slashpile13"	"Slashpile14"	"Slashpile15"	"Slashpile16"	"Slashpile17"	"Slashpile18"	"Slashpile19"	"Slashpile2"	"Slashpile20"	"Slashpile22"	"Slashpile23"	"Slashpile24"	"Slashpile25"	"Slashpile26"	"Slashpile27"	"Slashpile28"	"Slashpile3"	"Slashpile4"	"Slashpile40"	"Slashpile5"	"Slashpile6"	"Slashpile7"	"Slashpile8"	"Slashpile9"
"Taxa_00005"	0.265043267947514	0.143739893644017	0.0642824346533225	0.157459164324443	0.143739893644017	0.0909090909090909	0	0	0.181818181818182	0	0.603022689155527	0.128564869306645	0.111340442853781	0.128564869306645	0	0.111340442853781	0.0642824346533225	0	0.25712973861329	0.170075335762452	0.0642824346533225	0.170075335762452	0.391014784865574	0.0642824346533225	0.314918328648887	0.0909090909090909
"Taxa_00007"	0.29277002188456	0	0.119522860933439	0.169030850945703	0.169030850945703	0	0.119522860933439	0	0.29277002188456	0	0.119522860933439	0.492805380304581	0.239045721866879	0	0	0	0.119522860933439	0	0.29277002188456	0.119522860933439	0.119522860933439	0.358568582800318	0.169030850945703	0.169030850945703	0.239045721866879	0.239045721866879
"Taxa_00008"	0.333333333333333	0.0764719112901873	0.170996392014192	0.152943822580375	0.253628636750894	0.0764719112901873	0.152943822580375	0	0.275723397289504	0.0764719112901873	0.132453235706504	0.202325659555628	0.132453235706504	0.21629522817435	0	0	0.0764719112901873	0	0.324442842261525	0.132453235706504	0.152943822580375	0.241825416703337	0.275723397289504	0.286131691759651	0.275723397289504	0.296174438879546
"Taxa_00009"	0.367501661580418	0.131306432859723	0.169515875905203	0.0928476690885259	0.288675134594813	0.0536056267418897	0.278543007265578	0	0.221021661184246	0.0758098043578903	0.119865825371346	0.321633760451338	0.273336136795267	0.20761369963435	0.131306432859723	0.0928476690885259	0.0758098043578903	0.141827157232794	0.268028133709449	0	0.141827157232794	0.25708355455569	0.245651842220259	0.160816880225669	0.119865825371346	0.214422506967559
"Taxa_00010"	0.261961549107897	0.222578715073274	0.220923831782679	0.196295975740062	0.250504078964758	0.0635350080483699	0.160274993041633	0.152050208993759	0.143354311813759	0.0605782532815383	0.234618566101733	0.199080454899359	0.242313013126153	0.144628597423402	0.19156525704423	0.16479066509591	0.19156525704423	0.215031467720638	0.241554598079215	0.125617739645965	0.18473884368744	0.241554598079215	0.294288131916929	0.171341174751248	0.135457092295719	0.180722302051284
"Taxa_00011"	0.297670278893794	0.159111456835146	0.234205722976843	0.18372608486985	0.215437930991051	0.251577302713314	0.159111456835146	0	0.225017580185205	0	0.331216909819247	0.194870940738489	0.171860015649083	0.243046764960585	0.18372608486985	0.129913960492326	0.0918630424349251	0.20541200750444	0.159111456835146	0.159111456835146	0.129913960492326	0.145248223443532	0.275589127304775	0.234205722976843	0.145248223443532	0.18372608486985
"Taxa_00014"	0.137360563948689	0.198623047310258	0.277825419966239	0.154963615493863	0.154963615493863	0	0.0414157683281291	0.0717342149788216	0.124247304984387	0.541581446434222	0.0828315366562582	0.180527148811407	0.154963615493863	0.130968158962752	0.0414157683281291	0	0.237915475715443	0	0.241493352809378	0.189790893328406	0.207078841640646	0.301511344577764	0.175712223797227	0.154963615493863	0.223030738061077	0.170761587382987
"Taxa_00015"	0.215665546406877	0.164717281867254	0.220112726581406	0.186771841909407	0.311286403182345	0.062257280636469	0.152498570332605	0.0440225453162812	0.170498584867618	0.206484040339026	0.0984374038697697	0.0762492851663023	0.116472706986951	0.220112726581406	0	0.062257280636469	0.228747855498907	0	0.211124710564284	0.170498584867618	0.152498570332605	0.267778689138231	0.241121411085206	0.301803365318927	0.326479933972705	0.295312211609309
"Taxa_00017"	0.159936890691587	0.187428931506373	0.180003031655537	0.188336582972282	0.237224745355547	0.0184679213788279	0.191033664169012	0.0184679213788279	0.357629759696343	0.378028922574537	0.0783527546483355	0.193693193494255	0.170265822185894	0.146584581602015	0.0261175848827785	0.0738716855153118	0.191924268829905	0	0.197183441714108	0.223148743057108	0.165182110424724	0.224671960351256	0.196316697115061	0.172257303022971	0.22843557159153	0.288478153927321
"Taxa_00018"	0.229703763781696	0.180729954857834	0.132619529853233	0.100250941423417	0.17363972405197	0	0.122781826360509	0	0.38827022657451	0.317021312474121	0.180729954857834	0.381744211764999	0.229703763781696	0.180729954857834	0.0868198620259849	0.0708881205008336	0.218491861329745	0	0.22416791983111	0.212664361502501	0.100250941423417	0.218491861329745	0.206672610278179	0.166247378790686	0.17363972405197	0.112083959915555
"Taxa_00019"	0.0678453531552758	0.258347407958894	0.251577302713314	0.159111456835146	0.185802151725244	0.0479739092880917	0.0339226765776379	0.0479739092880917	0.135690706310552	0.479739092880917	0.0897509660301056	0.122309949801655	0.162687441686178	0.143921727864275	0.0678453531552758	0.0897509660301056	0.211847047327665	0.0587557993611956	0.147865519096338	0.330637352227705	0.303413643225353	0.225017580185205	0.147865519096338	0.197801495268602	0.230074786460375	0.179501932060211
